Circumstances,"Total
murder
victims",Husband,Wife,Mother,Father,Son,Daughter,Brother,Sister,"Other
family",Acquaintance,Friend,Boyfriend,Girlfriend,Neighbor,Employee,Employer,Stranger,Unknown,,,
Total            ,"12,664",108,552,123,130,263,182,86,29,279,"2,700",377,161,474,107,10,14,"1,481","5,588",,,
Felony type total:,"1,816",6,22,12,10,18,10,5,5,26,470,46,5,20,15,0,3,421,722,,, 
Rape,15,0,0,0,0,0,0,0,1,0,5,0,0,2,1,0,0,4,2,,,
Robbery,734,1,0,1,0,0,0,0,0,7,159,11,0,3,2,0,1,268,281,,,
Burglary,92,0,1,1,1,2,0,0,0,1,29,1,1,1,6,0,1,21,26,,,
Larceny-theft,11,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,2,4,,,
Motor vehicle theft,23,0,0,2,0,0,0,0,0,2,7,0,0,3,1,0,0,2,6,,,
Arson,37,1,1,0,1,4,1,2,1,2,0,1,0,1,2,0,0,1,19,,,
Prostitution and commercialized vice,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,,,
Other sex offenses,9,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,4,,,
Narcotic drug laws,390,0,0,0,0,1,0,1,0,1,146,19,0,1,0,0,0,43,178,,,
Gambling,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,3,,,
Other_not specified ,494,4,20,8,8,11,8,2,3,13,113,14,4,9,2,0,0,78,197,,,
Suspected felony type,60,1,5,3,1,2,0,0,0,3,11,0,0,0,0,0,0,5,29,,,
Other than felony type total:,"5,976",83,435,77,90,192,138,69,21,187,"1,655",274,138,386,70,7,8,708,"1,438",,,
Romantic triangle,85,2,10,0,0,0,0,0,0,0,49,5,3,5,0,0,0,7,4,,,
Child killed by babysitter,39,0,0,0,0,0,1,0,1,5,25,3,1,0,1,0,0,0,2,,,
Brawl due to influence of alcohol,111,2,4,0,0,2,0,0,0,1,47,19,1,3,2,0,0,18,12,,,
Brawl due to influence of narcotics,115,0,2,0,3,4,0,0,0,5,39,9,2,3,0,1,0,9,38,,,
Argument over money or property,155,1,4,3,8,3,0,1,0,3,79,5,0,3,4,0,0,19,22,,,
Other arguments,"3,128",53,291,42,58,40,16,55,10,105,971,176,111,284,47,6,3,346,514,,,
Gangland killings,150,0,0,0,0,0,1,0,0,3,37,3,0,0,0,0,0,27,79,,,
Juvenile gang killings,523,0,0,0,0,0,0,0,1,0,68,2,0,0,0,0,0,119,333,,,
Institutional killings,22,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,2,2,,,
Sniper attack,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,
Other_not specified ,"1,647",25,124,32,21,143,120,13,9,65,322,52,20,88,16,0,5,160,432,,,
Unknown,"4,812",18,90,31,29,51,34,12,3,63,564,57,18,68,22,3,3,347,"3,399",,,
1 Relationship is that of victim to offender.,,,,,,,,,,,,,,,,,,,,,,
"NOTE:  The relationship categories of husband and wife include both common-law and ex-spouses.  The categories of mother, father, sister, brother, son, and daughter include stepparents, stepchildren, and stepsiblings.  The category of acquaintance includes homosexual relationships and the composite category of other known to victim.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
, ,,, , ,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,
